corridor,all_records,violations,exemptions,technical_rejections,dmv_rejections,exempt_reject_total,violation_share,exempt_reject_rate,exemption_rate,technical_reject_rate,dmv_reject_rate
AMSTERDAM AV,242024,116494,82452,22478,20600,125530,0.15222064113670902,0.5186675701583314,0.3406769576570919,0.09287508676825439,0.08511552573298516
BROADWAY,176846,87971,51172,22688,15015,88875,0.11495014353904431,0.5025558960903838,0.2893591034006989,0.12829241260757948,0.08490438008210534
3 AV,161240,74495,55635,18036,13074,86745,0.09734129364155354,0.5379868518977922,0.34504465393202677,0.11185809972711486,0.08108409823865045
W 125 ST,110178,70910,19458,11616,8194,39268,0.09265683780283994,0.35640508994536113,0.17660512988073845,0.10542939606818058,0.07437056399644212
1 AV,117840,58005,38454,11782,9599,59835,0.07579410346571332,0.507764765784114,0.32632382892057027,0.09998302783435166,0.08145790902919213
2 AV,116405,56238,37142,10485,12540,60167,0.07348519594353564,0.5168764228340706,0.31907564108070957,0.09007345045315923,0.10772733130020189
LEXINGTON AV,76833,37023,25420,8565,5825,39810,0.048377296657376154,0.5181367381203389,0.33084742233155023,0.111475537854828,0.07581377793396067
E 125 ST,37811,20263,11328,3744,2476,17548,0.0264773022761098,0.46409774933220493,0.29959535584882707,0.09901880405173098,0.06548358943164688
10 AV,29268,17195,3647,4436,3990,12073,0.02246840115667512,0.4124982916495832,0.12460707940412738,0.15156484898182315,0.13632636326363265
E 79 ST,31825,16928,11983,1572,1342,14897,0.02211951699797595,0.46809112333071484,0.37652788688138256,0.04939512961508248,0.042168106834249805
PEARL ST,32345,16439,11407,2362,2137,15906,0.021480549381481962,0.4917607049002937,0.3526665636110682,0.07302519709383212,0.06606894419539341
E 86 ST,30457,14124,12372,2203,1758,16333,0.018455579990513487,0.5362642413894999,0.40621203664182287,0.07233148373116197,0.057720721016515084
MADISON ST,27219,13112,11110,1376,1621,14107,0.017133217561286662,0.5182776736838238,0.4081707630699144,0.05055292259083728,0.059553988023072116
W 86 ST,23479,12395,8569,1414,1101,11084,0.016196326393543944,0.47208143447335915,0.364964436304783,0.060224029984241235,0.046892968184334936
E 14 ST,26247,10635,10746,3338,1528,15612,0.013896565647062513,0.5948108355240599,0.4094182192250543,0.12717643921210042,0.05821617708690517
5 AV,26552,10578,8754,4968,2252,15974,0.013822084759250331,0.6016119313046098,0.3296926785176258,0.18710454956312142,0.08481470322386261
MADISON AV,23658,9746,6743,5486,1683,13912,0.012734925133640926,0.5880463268239073,0.28501986642996024,0.23188773353622452,0.07113872685772255
ALLEN ST,12815,7269,2810,1781,955,5546,0.009498273219416776,0.4327740928599298,0.21927428794381584,0.1389777604369879,0.07452204447912603
DYCKMAN ST,11179,7206,1429,1531,1013,3973,0.009415952238150678,0.35539851507290454,0.12782896502370517,0.13695321585114947,0.09061633419804992
W 79 ST,13567,5882,5845,742,1098,7685,0.007685904949320329,0.5664479988206678,0.43082479545957103,0.0546915309206162,0.08093167244048058
FORT WASHINGTON AV,13436,5753,3203,3040,1440,7683,0.007517342940061179,0.5718219708246501,0.23838940160762132,0.22625781482584104,0.10717475439118786
W 42 ST,16042,5580,7477,2095,890,10462,0.007291286912139993,0.6521630719361675,0.4660890163321282,0.13059468894152848,0.05547936666251091
WATER ST,10030,5317,2820,1133,760,4713,0.006947629482410097,0.4698903290129611,0.2811565304087737,0.11296111665004985,0.07577268195413758
YORK AV,14404,5005,7559,825,1015,9399,0.006539944622806571,0.6525270758122743,0.5247847820049986,0.05727575673424049,0.07046653707303527
E 23 ST,12740,4531,5427,1210,1572,8209,0.0059205772399473664,0.6443485086342229,0.4259811616954474,0.09497645211930926,0.12339089481946625
FT GEORGE AV,7400,4317,1024,1377,682,3083,0.005640947240091102,0.41662162162162164,0.13837837837837838,0.18608108108108107,0.09216216216216216
SAINT NICHOLAS AV,8462,4051,2812,804,795,4411,0.00529336976363425,0.5212715670054361,0.33230914677381235,0.09501299929094777,0.09394942094067596
W 116 ST,6845,3913,1217,907,808,2932,0.0051130476141942275,0.4283418553688824,0.17779401022644267,0.1325054784514244,0.11804236669101534
E 116 ST,7003,3912,1654,850,587,3091,0.005111740931951909,0.44138226474368125,0.23618449236041697,0.12137655290589747,0.08382121947736684
W 23 ST,8731,3700,3513,1096,422,5031,0.0048347242965802815,0.5762226549077998,0.40235940900240524,0.12552972168136525,0.04833352422402932
W 34 ST,10550,3623,5576,606,745,6927,0.0047341097639217195,0.6565876777251185,0.5285308056872038,0.057440758293838864,0.07061611374407582
SOUTH FERRY TERM,6748,3573,1945,814,416,3175,0.00466877565180577,0.4705097806757558,0.28823355068168344,0.12062833432128038,0.06164789567279194
COLUMBUS AV,6595,3374,2523,370,328,3221,0.004408745885584289,0.48840030326004547,0.3825625473843821,0.056103108415466264,0.049734647460197116
AV A,5993,3019,1582,976,416,2974,0.003944873689561046,0.49624561988987154,0.26397463707658936,0.1628566661104622,0.06941431670281996
E 34 ST,8033,2928,3517,651,937,5105,0.0038259656055100177,0.6355035478650567,0.4378189966388647,0.08104070708328147,0.1166438441429105
SOUTH FERRY,4386,2873,1016,321,176,1513,0.003754098082182473,0.3449612403100775,0.23164614683082535,0.073187414500684,0.04012767897856817
ADAM C POWELL BLVD,6696,2841,1377,1607,871,3855,0.003712284250428265,0.5757168458781362,0.2056451612903226,0.23999402628434888,0.13007765830346477
GRAND ST,5684,2718,2215,435,316,2966,0.003551562334623029,0.5218156228008445,0.38969035890218157,0.07653061224489796,0.055594651653764954
W 81 ST,6002,2676,2762,263,301,3326,0.003496681680445631,0.5541486171276241,0.46017994001999335,0.04381872709096968,0.050149950016661116
E 42 ST,8038,2649,3732,1005,652,5389,0.003461401259903018,0.6704404080617069,0.46429460064692707,0.12503110226424483,0.08111470515053495
CENTRAL PARK NORTH,4490,2233,598,1367,292,2257,0.002917821447098316,0.5026726057906459,0.133184855233853,0.3044543429844098,0.06503340757238307
W 14 ST,6207,2118,2991,673,425,4089,0.0027675529892316315,0.6587723537941035,0.4818753020782987,0.10842597067826647,0.06847108103753827
ESSEX ST,3428,1693,1095,319,321,1735,0.002212213036246059,0.5061260210035006,0.3194282380396733,0.09305717619603267,0.09364060676779463
<MISSING STOP>,6039,1680,2828,613,918,4359,0.002195226167095912,0.7218082463984103,0.4682894518960093,0.10150687199867528,0.15201192250372578
EDGECOMBE AV,2310,1193,323,642,152,1117,0.001558871915086561,0.48354978354978356,0.13982683982683983,0.2779220779220779,0.0658008658008658
