neighborhood,all_records,violations,exemptions,technical_rejections,dmv_rejections,exempt_reject_total,violation_share,exempt_reject_rate,exemption_rate,technical_reject_rate,dmv_reject_rate
Washington Heights (South),167059,85554,50370,17752,13383,81505,0.11179189255935931,0.487881526885711,0.3015102448835441,0.1062618595825427,0.08010942241962421
East Harlem (North),116294,57788,37339,10925,10242,58506,0.07551055341913009,0.503087003628734,0.32107417407604866,0.09394293772679588,0.08806989182588956
Washington Heights (North),114881,61361,25560,15892,12068,53520,0.08017932907093586,0.46587338202139605,0.22249109948555462,0.13833445043131587,0.10504783210452555
Harlem (South),114106,73664,18739,12788,8915,40442,0.09625544069818645,0.3544248330499711,0.1642244930152665,0.1120712320123394,0.07812910802236517
Upper East Side-Yorkville,101732,48731,34688,10494,7819,53001,0.06367593235044695,0.5209865135847128,0.34097432469626077,0.10315338339952031,0.0768588054889317
Upper East Side-Carnegie Hill,83883,39345,28082,10336,6120,44538,0.05141141282404086,0.5309538285469046,0.33477581869985573,0.12321924585434474,0.07295876399270412
Upper East Side-Lenox Hill-Roosevelt Island,83054,45435,22985,8752,5882,37619,0.05936910767976354,0.45294627591687336,0.2767476581501192,0.10537722445637777,0.07082139331037639
Murray Hill-Kips Bay,77868,34750,29920,7471,5727,43118,0.04540720792058508,0.553731956644578,0.3842399958904813,0.09594441875995274,0.07354754199414394
East Harlem (South),69817,33182,23571,6680,6384,36635,0.043358330164628894,0.5247289342137301,0.33761118352263775,0.09567870289471046,0.09143904779638197
Gramercy,69082,25922,29950,6082,7128,43160,0.03387181708539299,0.624764772299586,0.43354274630149675,0.08804029993341246,0.10318172606467677
Morningside Heights,64389,29156,23356,6981,4896,35233,0.03809762745705262,0.5471897373775023,0.36273276491326156,0.10841913991520291,0.07603783254903788
Hamilton Heights-Sugar Hill,60234,30894,16042,7312,5986,29340,0.04036864119420303,0.48710030879569677,0.2663279875153568,0.12139323305774148,0.09937908822259853
Upper West Side (Central),54024,26334,21159,3328,3203,27690,0.03441017016922842,0.5125499777876499,0.3916592625499778,0.06160225085147342,0.059288464386198725
East Village,46825,23554,12648,7336,3287,23271,0.03077759353558161,0.4969781099839829,0.27011211959423387,0.1566684463427656,0.07019754404698345
Financial District-Battery Park City,45268,23784,14232,4339,2913,21484,0.03107813045131498,0.4745957409207387,0.31439427410091014,0.09585137403905629,0.06435009278077229
East Midtown-Turtle Bay,38375,16788,14317,4177,3093,21587,0.02193658148405129,0.5625276872964169,0.3730814332247557,0.10884690553745928,0.08059934853420195
Chinatown-Two Bridges,34176,17038,12833,1881,2424,17138,0.02226325204463104,0.5014630149812734,0.375497425093633,0.05503862359550562,0.07092696629213484
Inwood,32064,18693,4390,4781,4200,13371,0.024425811155668976,0.41700973053892215,0.13691367265469062,0.14910803393213573,0.1309880239520958
Manhattanville-West Harlem,31098,13166,12544,3304,2084,17932,0.01720377840237189,0.5766287221043154,0.40336999163933374,0.10624477458357451,0.06701395588140717
Midtown-Times Square,30036,8539,14851,4564,2082,21497,0.011157759667161898,0.7157078172859236,0.494440005326941,0.15195099214276203,0.06931681981622054
Midtown South-Flatiron-Union Square,20963,7398,9615,2083,1867,13565,0.009666835228675926,0.64709249630301,0.45866526737585267,0.09936554882411869,0.08906168010303869
Lower East Side,18690,9511,5483,2457,1239,9179,0.012427854806695962,0.4911182450508293,0.2933654360620653,0.13146067415730336,0.06629213483146068
Central Park,18110,8296,4831,3231,1752,9814,0.010840235882278384,0.5419105466593043,0.26675869685256764,0.17840971838763114,0.09674213141910547
Highbridge Park,17382,4599,10329,1523,931,12783,0.0060094316324250585,0.7354159475319296,0.5942354159475319,0.087619376366356,0.05356115521804165
Chelsea-Hudson Yards,13262,5267,5685,1627,683,7995,0.006882295370294147,0.6028502488312472,0.42866837581058664,0.12268134519680289,0.05150052782385764
Tribeca-Civic Center,8392,4231,3348,422,391,4161,0.005528572567251668,0.4958293612964728,0.3989513822688275,0.05028598665395615,0.04659199237368923
Upper West Side-Manhattan Valley,7899,3060,3467,899,473,4839,0.003998447661496125,0.6126091910368401,0.43891631852133184,0.11381187492087606,0.05988099759463223
Hell's Kitchen,7305,3015,2753,1170,367,4290,0.00393964696059177,0.5872689938398358,0.3768651608487337,0.1601642710472279,0.05023956194387406
Greenwich Village,4933,1746,2206,742,239,3187,0.0022814671950889655,0.6460571660247314,0.44719237786336913,0.1504155686195013,0.04844921954186094
Harlem (North),4918,1576,1464,1045,833,3342,0.0020593312138947363,0.6795445302968687,0.29768198454656364,0.21248474989833266,0.16937779585197235
West Village,3064,1291,1267,309,197,1773,0.0016869267748338226,0.5786553524804178,0.4135117493472585,0.10084856396866841,0.06429503916449086
United Nations,2726,374,2153,38,161,2352,0.0004886991586273042,0.8628026412325752,0.7898019075568599,0.013939838591342627,0.059060895084372705
Upper West Side-Lincoln Square,2159,401,821,629,308,1758,0.000523979579169917,0.8142658638258453,0.38026864289022694,0.29133858267716534,0.14265863825845299
Inwood Hill Park,1144,626,349,95,74,518,0.0008179830836916909,0.4527972027972028,0.30506993006993005,0.08304195804195805,0.06468531468531469
Stuyvesant Town-Peter Cooper Village,918,228,448,203,39,690,0.00029792355124873087,0.7516339869281046,0.4880174291938998,0.22113289760348584,0.042483660130718956
