route,all_records,violations,exemptions,technical_rejections,dmv_rejections,exempt_reject_total,violation_share,exempt_reject_rate,exemption_rate,technical_reject_rate,dmv_reject_rate
M101,540443,266710,173909,55180,44644,273733,0.3485052208488992,0.506497447464395,0.32178971695442443,0.10210142420199725,0.08260630630797328
M15+,346400,170030,113367,33283,29720,176370,0.22217518166149874,0.5091512702078522,0.3272719399538106,0.09608256351039261,0.08579676674364896
M100,182746,99777,42113,23138,17718,82969,0.13037683409186238,0.45401267332800715,0.2304455364276099,0.1266128943998774,0.09695424250051984
M60+,101885,58464,28471,8696,6254,43421,0.07639387061493773,0.42617657162487116,0.2794425087108014,0.08535113117730775,0.061382931736762035
M2,69355,28756,19708,15316,5575,40599,0.03757495456012502,0.5853795688847235,0.28416119962511716,0.22083483526782496,0.08038353399178141
M86+,68573,32338,28087,4320,3828,36235,0.042255490352111666,0.5284149738235165,0.4095926968340309,0.06299855628308518,0.05582372070640048
M79+,60045,29653,24170,3016,3206,30392,0.03874704853148516,0.5061537180447997,0.4025314347572654,0.05022899492047631,0.05339328836705804
M14+,47456,20024,18900,5546,2986,27432,0.026165005220195558,0.5780512474713418,0.39826365475387726,0.11686614969656102,0.06292144302090358
M4,38033,15013,9848,9516,3656,23020,0.019617220503935072,0.6052638498146347,0.2589330318407699,0.2502037704099072,0.09612704756395761
M34+,29721,12314,12121,2781,2505,17407,0.016090485131916105,0.5856801588102688,0.4078261162141247,0.09357020288684768,0.08428383970929645
M42,24904,8324,11860,3148,1572,16580,0.010876822985063315,0.6657565049791199,0.47622871827818825,0.1264053967234179,0.06312238997751365
M23+,21908,8855,8545,2491,2017,13053,0.011570671255734702,0.5958097498630637,0.3900401679751689,0.11370275698375022,0.0920668249041446
M116,20455,11304,4744,2556,1851,9151,0.01477073606717392,0.44737228061598633,0.23192373502811048,0.12495722317281838,0.09049132241505745
M57,5949,2129,1411,1742,667,3820,0.0027819264938971407,0.6421247268448479,0.2371827197848378,0.2928223230795092,0.11211968398050093
M96,3691,1606,1202,626,257,2085,0.0020985316811643062,0.5648875643457058,0.3256570035220807,0.16960173394743971,0.06962882687618531
M7,3305,0,2314,231,760,3305,0.0,1.0,0.7001512859304084,0.06989409984871407,0.22995461422087746
M31,1261,0,1025,62,174,1261,0.0,1.0,0.8128469468675654,0.04916732751784298,0.1379857256145916
