stop_canonical,all_records,violations,exemptions,technical_rejections,dmv_rejections,exempt_reject_total,violation_share,exempt_reject_rate,exemption_rate,technical_reject_rate,dmv_reject_rate,longitude,latitude
MALCOLM X BLVD / W 125 ST,35893,24144,5402,3720,2627,11749,0.03154853605854982,0.3273340205611122,0.15050288357061264,0.10364137854177695,0.0731897584487226,-73.944829,40.807453
SAINT NICHOLAS AV / W 125 ST,26097,17012,4465,2795,1825,9085,0.022229278306330744,0.3481243054757252,0.17109246273518028,0.10710043299996168,0.0699314097405832,-73.949778,40.809549
CATHERINE ST / MADISON ST,27219,13112,11110,1376,1621,14107,0.017133217561286662,0.5182776736838238,0.4081707630699144,0.05055292259083728,0.059553988023072116,-74.000165,40.711335
2 AV / E 78 ST,18143,10490,4804,1352,1497,7653,0.013707096721926259,0.4218155762553051,0.26478531665105,0.07451909827481673,0.08251116132943835,-73.957469,40.770047
2 AV / E 125 ST,19372,10254,5358,1571,2189,9118,0.013398719712738975,0.47067933099318604,0.27658476151145983,0.0810964278339872,0.11299814164773901,-73.935293,40.801928
BROADWAY / W 178 ST,17758,10238,4141,1904,1475,7520,0.013377812796861873,0.423471111611668,0.2331906746255209,0.10721928145061381,0.08306115553553328,-73.937783,40.84829
AMSTERDAM AV / W 161 ST,20023,10215,5895,1939,1974,9808,0.013347759105288536,0.4898366878090196,0.29441142685911204,0.09683863556909554,0.09858662538081206,-73.940819,40.834546
ADAM C POWELL BLVD / W 125 ST,15183,10131,2016,1812,1224,5052,0.013237997796933739,0.3327405651057103,0.13278008298755187,0.11934400316143055,0.08061647895672792,-73.947177,40.808436
FREDERICK DOUGLASS BLVD / W 125 ST,15892,9980,3090,1603,1219,5912,0.013040688778343572,0.3720110747545935,0.1944374528064435,0.1008683614397181,0.07670526050843192,-73.951746,40.810462
AMSTERDAM AV / W 158 ST,17517,9900,3910,1889,1818,7617,0.012936154198958051,0.4348347319746532,0.22321173716960666,0.10783810013130102,0.1037848946737455,-73.941319,40.833744
BEEKMAN ST / PEARL ST,16471,9041,5575,806,1049,7430,0.011813714152806035,0.45109586546050634,0.3384736810151175,0.0489344909234412,0.06368769352194767,-74.000176,40.711302
3 AV / E 86 ST,18700,8690,6602,1766,1642,10010,0.011355068685752067,0.5352941176470588,0.35304812834224597,0.09443850267379679,0.08780748663101605,-73.952986,40.779162
1 AV / E 57 ST,14201,8639,3021,1515,1026,5562,0.0112884278913938,0.3916625589747201,0.21273149778184636,0.10668262798394479,0.07224843320892894,-73.960533,40.761518
1 AV / E 67 ST,14164,7658,3549,2026,931,6506,0.010006572611678864,0.45933352160406665,0.25056481219994353,0.14303868963569613,0.065730019768427,-73.955343,40.768677
FULTON ST / PEARL ST,15874,7398,5832,1556,1088,8476,0.009666835228675926,0.5339548947965226,0.36739322162025956,0.09802192264079627,0.0685397505354668,-74.00515,40.706799
BROADWAY / W 181 ST,13544,7179,3421,1540,1404,6365,0.009380671817608066,0.469949793266391,0.25258417011222684,0.11370348493797992,0.1036621382161843,-73.936499,40.849478
E 125 ST / PARK AV,12454,7077,3343,1173,861,5377,0.009247390228891528,0.43174883571543277,0.26842781435683316,0.09418660671270275,0.0691344146458969,-73.942644,40.80659
BROADWAY / W 176 ST,12211,7077,2764,1392,978,5134,0.009247390228891528,0.42044058635656373,0.22635328801899926,0.1139955777577594,0.0800917205798051,-73.938623,40.845712
10 AV / W 207 ST,11881,6918,1267,1674,2022,4963,0.009039627752362809,0.41772578065819377,0.10664085514687316,0.14089723087282216,0.17018769463849845,-73.918659,40.864829
AMSTERDAM AV / W 172 ST,9306,6768,948,1025,565,2538,0.00884362541601496,0.2727272727272727,0.10186976144422953,0.11014399312271653,0.06071351816032667,-73.936083,40.841064
AMSTERDAM AV / W 152 ST,11275,6565,2531,1072,1107,4710,0.008578368920824203,0.4177383592017738,0.2244789356984479,0.09507760532150776,0.09818181818181818,-73.944894,40.828871
1 AV / E 86 ST,13483,6447,4955,1100,981,7036,0.008424180416230562,0.5218423199584662,0.36749981458132464,0.08158421716235259,0.072758288214789,-73.947768,40.777788
5 AV / W 125 ST,10793,6423,2536,1032,802,4370,0.008392820042414905,0.40489205966830355,0.23496710831094228,0.09561752988047809,0.07430742147688317,-73.943122,40.80678
COLUMBUS AV / W 86 ST,11607,6208,4157,763,479,5399,0.008111883360316322,0.46515034031188074,0.35814594641164815,0.06573619367622986,0.04126820022400276,-73.972626,40.786723
1 AV / E 1 ST,10827,6171,2205,1616,835,4656,0.00806353611735052,0.43003602105846495,0.20365752285951788,0.1492564884086081,0.07712200979033897,-73.985107,40.727813
3 AV / E 79 ST,9661,5500,2593,1068,500,4161,0.0071867523327544735,0.43070075561536075,0.2683987164889763,0.1105475623641445,0.05175447676223993,-73.95623,40.774976
1 AV / E 79 ST,9650,5306,3163,727,454,4344,0.006933255977744588,0.4501554404145078,0.3277720207253886,0.07533678756476683,0.04704663212435233,-73.952135,40.772815
3 AV / E 14 ST,14283,5158,6715,1300,1110,9125,0.006739867005881377,0.6388713855632571,0.47013932647202966,0.09101729328572429,0.07771476580550304,-73.985039,40.736074
BROADWAY / W 172 ST,8693,5045,2113,734,801,3648,0.00659221191249933,0.41964799263775454,0.24306913608650638,0.08443575290463591,0.09214310364661221,-73.939234,40.842938
BROADWAY / W 190 ST,8194,5022,821,1542,809,3172,0.006562158220925993,0.38711252135709057,0.10019526482792288,0.18818647791066634,0.09873077861850134,-73.933189,40.855718
E 79 ST / LEXINGTON AV,11453,5005,5193,707,548,6448,0.006539944622806571,0.5629965947786606,0.45341831834453855,0.06173055094735004,0.047847725486772026,-73.959915,40.7742
BROADWAY / W 106 ST,11937,4990,5425,988,534,6947,0.006520344389171786,0.5819720197704615,0.45446929714333584,0.082767864622602,0.04473485800452375,-73.965948,40.805088
AMSTERDAM AV / W 125 ST,11149,4986,4399,1059,705,6163,0.00651511766020251,0.552785003139295,0.3945645349358687,0.09498609740783927,0.06323437079558705,-73.955683,40.812222
1 AV / E 116 ST,8467,4958,1882,813,814,3509,0.006478530557417578,0.4144325026573757,0.22227471359395298,0.09601984173851423,0.09613794732490846,-73.933427,40.798663
2 AV / E 23 ST,17669,4946,8399,916,3408,12723,0.00646285037050975,0.7200747071141548,0.4753523119587979,0.051842209519497424,0.1928801856358594,-73.981896,40.736597
3 AV / E 37 ST,10332,4946,3371,1116,899,5386,0.00646285037050975,0.5212930700735579,0.3262679055361982,0.10801393728222997,0.08701122725512969,-73.95482799999999,40.7781265
2 AV / E 86 ST,9136,4920,2652,817,747,4216,0.006428876632209456,0.46147110332749564,0.29028021015761823,0.08942644483362522,0.08176444833625218,-73.9526835,40.77737
2 AV / E 79 ST,9192,4919,3579,440,254,4273,0.006427569949967137,0.4648607484769365,0.3893603133159269,0.047867711053089644,0.02763272410791993,-73.955967,40.773774
3 AV / E 116 ST,9243,4723,2818,822,880,4520,0.006171460230472614,0.48901871686681814,0.3048793681705074,0.08893216488153197,0.09520718381477875,-73.938864,40.799467
1 AV / E 106 ST,8652,4716,2094,688,1154,3936,0.006162313454776381,0.4549237170596394,0.2420249653259362,0.07951918631530282,0.13337956541840038,-73.936742,40.794116
AMSTERDAM AV / W 165 ST,8544,4645,2075,1179,645,3899,0.006069539015571732,0.4563436329588015,0.24286048689138576,0.13799157303370788,0.07549157303370786,-73.939138,40.836597499999996
E 116 ST / LEXINGTON AV,8078,4543,2101,713,721,3535,0.005936257426855195,0.4376083188908146,0.2600891309730131,0.08826442188660559,0.08925476603119584,-73.942723,40.797149
BROADWAY / W 116 ST,11211,4528,5063,841,779,6683,0.00591665719322041,0.5961109624475961,0.45161002586745164,0.07501560966907501,0.06948532691106948,-73.965403,40.806088
E 125 ST / LEXINGTON AV,8572,4394,2705,994,479,4178,0.005741561772749665,0.48740083994400374,0.31556229584694356,0.11595893607092861,0.055879608026131594,-73.938009,40.804075
2 AV / E 115 ST,8748,4342,2637,761,1008,4406,0.005673614296149077,0.5036579789666209,0.301440329218107,0.08699131229995427,0.11522633744855967,-73.940394,40.793499
FORT GEORGE HILL / FT GEORGE AV,7400,4317,1024,1377,682,3083,0.005640947240091102,0.41662162162162164,0.13837837837837838,0.18608108108108107,0.09216216216216216,-73.929011,40.855445
AMSTERDAM AV / W 178 ST,6721,4222,814,965,720,2499,0.005516812427070797,0.37181966969201014,0.12111292962356793,0.14357982443088826,0.10712691563755393,-73.933802,40.844209
AMSTERDAM AV / W 145 ST,8325,4206,2631,810,678,4119,0.005495905511193694,0.4947747747747748,0.316036036036036,0.0972972972972973,0.08144144144144144,-73.94692,40.826158
3 AV / E 106 ST,8688,4154,3062,609,863,4534,0.005427958034593105,0.5218692449355433,0.35244014732965007,0.07009668508287292,0.09933241252302026,-73.943202,40.793549
DYCKMAN ST / SHERMAN AV,6337,4151,827,826,533,2186,0.005424037987866149,0.34495818210509704,0.13050339277260534,0.13034558939561305,0.08410919993687865,-73.925618,40.862923
BROADWAY / W 79 ST,9886,4086,4472,482,846,5800,0.005339103642115414,0.5866882460044507,0.4523568682986041,0.048755816305887115,0.08557556139995953,-73.979686,40.786964499999996
BROADWAY / W 175 ST,7719,4052,1891,944,832,3667,0.005294676445876568,0.47506153646845445,0.24497991967871485,0.12229563414950123,0.10778598264023838,-73.937956,40.847752
10 AV / W 202 ST,7226,4040,1095,1184,907,3186,0.00527899625896874,0.44090783282590645,0.15153611956822585,0.1638527539440908,0.1255189593135898,-73.9202035,40.862723
1 AV / E 29 ST,8761,3844,3838,678,401,4917,0.005022886539474217,0.5612373016778907,0.4380778449948636,0.07738842597876955,0.045771030704257504,-73.974807,40.741948
E 124 ST / LEXINGTON AV,7443,3805,2472,622,544,3638,0.004971925932023776,0.4887814053473062,0.332124143490528,0.08356845358054547,0.07308880827623271,-73.939001,40.80223
3 AV / E 33 ST,8161,3773,2904,713,771,4388,0.004930112100269568,0.5376792059796593,0.35583874525180736,0.08736674427153535,0.09447371645631662,-73.975139,40.749712
AMSTERDAM AV / W 135 ST,8179,3753,3239,688,499,4426,0.0049039784554231886,0.5411419488935078,0.3960141826629172,0.08411786281941558,0.06100990341117496,-73.953246,40.817503
2 AV / E 13 ST,6679,3746,1566,958,409,2933,0.004894831679726956,0.4391375954484204,0.2344662374606977,0.1434346459050756,0.0612367120826471,-73.987903,40.728272
3 AV / E 99 ST,7445,3743,2591,619,492,3702,0.004890911632999998,0.49724647414372064,0.3480188045668234,0.08314304902619207,0.06608462055070517,-73.945409,40.790532
E 86 ST / MADISON AV,8457,3736,3571,706,444,4721,0.0048817648573037655,0.5582357810098143,0.42225375428638995,0.08348113988411966,0.05250088683930472,-73.958204,40.78099398681245
3 AV / E 23 ST,9279,3735,4066,955,523,5544,0.004880458175061447,0.597478176527643,0.43819377088048284,0.10292057333764414,0.05636383230951611,-73.984261,40.738149
BROADWAY / W 171 ST,6555,3731,1641,647,536,2824,0.004875231446092171,0.43081617086193746,0.25034324942791764,0.09870327993897787,0.08176964149504196,-73.938693,40.845464
AMSTERDAM AV / W 138 ST,7138,3713,2114,789,522,3425,0.004851711165730429,0.47982628187167276,0.2961613897450266,0.11053516391145979,0.07312972821518633,-73.951125,40.8201335
AMSTERDAM AV / W 167 ST,5346,3686,687,579,394,1660,0.004816430745187816,0.31051253273475493,0.12850729517396184,0.10830527497194165,0.07369996258885148,-73.936417,40.840551
2 AV / E 14 ST,7369,3641,2916,396,416,3728,0.004757630044283461,0.5059031076129733,0.39571176550413895,0.05373863482154974,0.05645270728728457,-73.983857,40.731886
BROADWAY / FAIRVIEW AV,6370,3635,1261,925,549,2735,0.004749789950829547,0.4293563579277865,0.19795918367346937,0.14521193092621665,0.08618524332810047,-73.93227,40.857409
3 AV / E 42 ST,7406,3634,2088,996,688,3772,0.004748483268587228,0.5093167701863354,0.2819335673778018,0.13448555225492845,0.09289765055360519,-73.973659,40.75197330143857
2 AV / E 68 ST,7131,3612,2300,558,661,3519,0.004719736259256211,0.49347917543121583,0.32253540877857245,0.07824989482541019,0.09269387182723321,-73.962314,40.763481
3 AV / E 72 ST,6343,3583,1460,713,587,2760,0.004681842474228959,0.43512533501497713,0.23017499605864733,0.11240737821220242,0.09254296074412738,-73.959086,40.771724
SOUTH FERRY TERM / SOUTH FERRY TERM,6748,3573,1945,814,416,3175,0.00466877565180577,0.4705097806757558,0.28823355068168344,0.12062833432128038,0.06164789567279194,-74.010899,40.703135
BROADWAY / W 168 ST,7623,3557,2617,934,515,4066,0.0046478687359286655,0.5333858061130788,0.3433031614849797,0.1225239407057589,0.06755870392234029,-73.9401640233978,40.840446
AMSTERDAM AV / W 155 ST,7532,3545,2615,709,663,3987,0.004632188549020837,0.5293414763674986,0.3471853425385024,0.09413170472650026,0.08802442910249601,-73.942004,40.8329
AMSTERDAM AV / W 143 ST,6777,3503,2052,709,513,3274,0.00457730789484344,0.4831046185627859,0.30278884462151395,0.10461856278589346,0.07569721115537849,-73.949638,40.822451
AMSTERDAM AV / W 168 ST,6275,3499,1737,567,472,2776,0.004572081165874164,0.44239043824701196,0.27681274900398406,0.0903585657370518,0.0752191235059761,-73.938436,40.837862
1 AV / MITCHELL PL,8369,3405,3734,693,537,4964,0.004449253035096178,0.5931413550005974,0.4461703907276855,0.0828055920659577,0.06416537220695423,-73.964704,40.755806
COLUMBUS AV / W 80 ST,6256,3369,2290,313,284,2887,0.004402212474372695,0.4614769820971867,0.36604859335038364,0.050031969309462916,0.04539641943734015,-73.976855,40.782554
1 AV / E 14 ST,8068,3282,2745,1540,501,4786,0.004288531119290942,0.5932077342588002,0.340233019335647,0.1908775409023302,0.062097174020823,-73.982754,40.731434
